catid,codec,description
8,ATB0,B級/深色
8,ATB4,B級/淺+粉白色
8,ATB5,B級/深+淺+粉白色
8,ATB6,B級/紫紋蛤#6-#9
8,AUB0,B級/人造紅星石
8,AUB1,B級/人造藍星石
8,AVA0,A級/人造白水晶
8,AVA1,A級/人造白水晶(鍍AB彩)
8,AVB0,B級/人造白水晶
8,AW37,A級/#30咖啡色(金益聖樣版)
8,AW52,B級/#3水藍色(金益聖樣版)
8,AW53,B級/#4橄欖綠(金益聖樣版)
8,AW60,B級/#11白色(金益聖樣版)
8,AW64,B級/#15黑灰色(金益聖樣版)
8,AW67,B級/#18深粉紅(金益聖樣版)
8,AW71,B級/#22淺紫紅(金益聖樣版)
8,AWA1,A級/1# 大紅(曙光樣版)
8,AWA2,A級/2# 綠色(曙光樣版)
8,AWA3,A級/3# 寶藍(曙光樣版)
8,AWA4,A級/4# 桔紅(曙光樣版)
8,AWA5,A級/5# 白色(曙光樣版)
8,AWA6,A級/6# 黃色(曙光樣版)
8,AWA7,A級/7# 淺藍(曙光樣版)
8,AWA8,A級/8# 玫瑰(曙光樣版)
8,AWA9,A級/9# 海藍(曙光樣版)
8,AWAA,A級/10# 淺黑(曙光樣版)
8,AWAB,A級/11# 孔雀藍(曙光樣版)
8,AWAC,A級/12# 粉紅(曙光樣版)
8,AWAD,A級/13# 米黃(曙光樣版)
8,AWAE,A級/14# 草綠(曙光樣版)
8,AWAF,A級/15# 淺桔紅(曙光樣版)
8,AWAG,A級/16# 深紫(曙光樣版)
8,AWAH,A級/17# 金綠(曙光樣版)
8,AWAJ,A級/18# 銀灰(曙光樣版)
8,AWAK,A級/19# 土黃(曙光樣版)
8,AWAL,A級/20# 紅咖(曙光樣版)
8,AWAM,A級/21# 桔黃(曙光樣版)
8,AWAN,A級/22# 軍綠(曙光樣版)
8,AWAP,A級/23# 藍黑(曙光樣版)
8,AWAQ,A級/24# 淺紅咖(曙光樣版)
8,AWAR,A級/25# 淺綠(曙光樣版)
8,AWAS,A級/26# 黑咖(曙光樣版)
8,AWAT,A級/27# 淺紫(曙光樣版)
8,AZB0,B級/有紋 (藍色有黑紋)
8,AWAU,A級/28# 海水藍(曙光樣版)
8,AWAV,A級/29# 紫羅藍(曙光樣版)
8,AWAW,A級/30# 深黑(曙光樣版)
8,AWAX,A級/35# 虎眼色(曙光樣版)
8,AWB1,B級/1# 大紅(曙光樣版
8,AWB2,B級/2#綠色(曙光樣版)
8,AWB3,B級/3# 寶藍(曙光樣版)
8,AWB4,B級/4# 桔紅(曙光樣版)
8,AWB5,B級/5# 白色(曙光樣版)
8,AWB6,B級/6# 黃色(曙光樣版)
8,AWB7,B級/7# 淺藍(曙光樣版)
8,AWB8,B級/8# 玫瑰(曙光樣版)
8,AWB9,B級/9# 海藍(曙光樣版)
8,AWBA,B級/10# 淺黑(曙光樣版)
8,AWBB,B級/11# 孔雀藍(曙光樣版)
8,AWBC,B級/12# 粉紅(曙光樣版)
8,AWBD,B級/13# 米黃(曙光樣版)
8,AWBE,B級/14# 草綠(曙光樣版)
8,AWBF,B級/15# 淺桔紅(曙光樣版)
8,AWBG,B級/16# 深紫(曙光樣版)
8,AWBH,B級/17# 金綠(曙光樣版)
8,AWBJ,B級/18# 銀灰(曙光樣版)
8,AWBK,B級/19# 土黃(曙光樣版)
8,AWBL,B級/20# 紅咖(曙光樣版)
8,AWBM,B級/21# 桔黃(曙光樣版)
8,AWBN,B級/22# 軍綠(曙光樣版)
8,AWBP,B級/23# 藍黑(曙光樣版)
8,AWBQ,B級/24# 淺紅咖(曙光樣版)
8,AWBR,B級/25# 淺綠(曙光樣版)
8,AWBS,B級/26# 黑咖(曙光樣版)
8,AWBT,B級/27# 淺紫(曙光樣版)
8,AWBU,B級/28# 海水藍(曙光樣版)
8,AWBV,B級/29# 紫羅藍(曙光樣版)
8,AWBW,B級/30# 深黑(曙光樣版)
8,AWBX,B級/35# 虎眼色(曙光樣版)
8,AYA2,A級/藍瑪瑙三美人頭像
8,AYB0,B級/瑪瑙浮雕
8,AYB2,B級/藍瑪瑙三美人頭像
8,AYB3,B級/藍瑪瑙浮雕女人頭像(抱小孩)
8,AZA0,A級/有紋 (藍色有黑紋)
8,AZA1,A級/無紋 (藍色無紋)
8,AZB1,B級/無紋 (藍色無紋)
8,AZB2,B級/有紋 (藍色有黃紋)
8,AZB3,B級/人造無紋綠松石(深藍色)
8,AZB4,B級/人造綠松石(紅意#010)
8,BAA0,A級/染沙丁-深紅色
8,BAA3,A級/海竹染大紅色
8,BAA4,A級/海棉壓磚珊瑚深紅色
8,BAA5,A級/染藍色海綿珊瑚
8,BAB0,B級/染沙丁-深紅色
8,BAB1,B級/染淺水-粉紅色
8,BAB3,B級/海竹染大紅色
8,BAB4,B級/海棉壓磚珊瑚深紅色
8,BBA0,A級/染藍色(染色+滴膠)
8,BBA1,A級/染粉紅色(染色+滴膠)
8,BBA6,A級/染紫色(染色)
8,BBA7,A級/染藍色(染色)
8,BBA8,A級/染粉紅色(染色)
8,BBAA,A級/染深紅色(染色+滴膠)
8,BBAB,A級/染深紫色(染色+滴膠)
8,BBAD,A級/染紫色(染色)
8,BBAE,A級/染葡萄酒色貝殼(BURGUNDY MOP)
8,BBB0,B級/染藍色(進格)(染色+滴膠)
8,BBB1,B級/染粉紅色(進格)(染色+滴膠)
8,BBB3,B級/染淺紫色(興業20#)(染色+滴膠)
8,BBB7,B級/染藍色(染色)
8,BBB8,B級/染粉紅色(染色)
8,BBB9,B級/染紫色(染色)
8,BBBB,B級/染深紅色(染色+滴膠)
8,BBBC,B級/染深紫色(染色+滴膠)
8,BBBD,B級/染淺粉紅色
8,BBBF,B級/染紅珍珠貝(染色)
8,BBBG,B級/染深藍色珍珠貝((染色)
8,BBBH,B級/染深粉紅色珍珠貝(染色)
8,BC5C,B級/ 中綠色(千千色版)
8,BCB1,B級/ 灰色(千千色版)
8,BDA0,A級/染綠玉(中間顏色)
8,BDA1,A級/染紫玉(中間顏色)
8,BDA2,A級/染黃玉(中間顏色)
8,BDA3,A級/染紅色玉(中間顏色)
8,BDA4,A級/染黑玉(中間顏色)
8,BDA6,A級/染藍玉(中間顏色)
8,BDA7,A級/染綠玉(深色色系)
8,BDA8,A級/染紫玉(深色色系)
8,BDA9,A級/染黃玉(深色色系)
8,BDAA,A級/染紅玉(深色色系)
8,BDAC,A級/染藍玉(深色色系)
8,BDAL,A級/緬甸白玉
8,BDAM,A級/染色黃玉(#2-#5)
8,BDAN,A級/染色紅玉(#2-#5)
8,BDAP,A級/染色紫玉(#1-#4)
8,BDB0,B級/染綠玉(深色色系)
8,BDB1,B級/染紫玉(深色色系)
8,BDB2,B級/染黃玉(深色色系)
8,BDB3,B級/染色紅玉(深色色系)
8,BDB4,B級/染黑玉
8,BDB5,B級/染粉紅玉(深色色系)
8,BDB6,B級/染藍玉(深色色系)
8,BDB7,B級/染綠玉(中色色系)
8,BDB8,B級/染紫玉(中色色系)
8,BDB9,B級/染黃玉(中色色系)
8,BDBA,B級/染紅色玉(中色色系)
8,BDBB,B級/染粉紅玉(中色色系)
8,BDBC,B級/染藍玉(中色色系)
8,BDBD,B級/染綠玉(淺色色系)
8,BDBE,B級/染紫玉(淺色色系)
8,BDBG,B級/染紅玉(淺色色系)
8,BDBL,B級/緬甸白玉
8,BDBT,B級/染色紫玉(#1-#4)
8,BDBV,染色綠玉(#2-#8)
8,BDC0,染色綠玉(PM)
8,BEA0,A級/拼石
8,BEB0,B級/拼石
8,BFB0,B級/土耳其色
8,BG10,A級/PL-701
8,BG11,A級/PL-702
8,BG1J,A級/PL-501-SR001
8,BG1S,A級/PL-509-D06
8,BG1T,A級/PL-510-SR008
8,BG2C,A級/PL-215
8,BG2J,A級/PL-221
8,BG2K,A級/PL222
8,BG2R,A級/PL228
8,BG2S,A級/PL229
8,BG2U,A級/PL231
8,BG30,A級/PL237
8,BG38,A級/PL525
8,BG3F,A級/PL532
8,BG3N,A級/PL539
8,BG3P,A級/PL540
8,BG44,A級/PL617
8,BG4D,A級/PL626
8,BG4K,A級/PL632
8,BG51,B級/PL-702
8,BG5T,B級/PL-510-SR008
8,BG6D,B級/PL-216
8,BG6U,B級/PL231
8,BG78,B級/PL525
8,BG97,B級/PL734
8,BG9F,B級/PL650桃紅色(海南聖發SA111)
8,BG9W,B級/WA401粉紅色
8,BGA0,A級/PL727
8,BGAE,A級/PL251粉紅色
8,BGAH,A級/PL653棕色
8,BGAP,A級/PL707橄欖色(海南聖發SP306)
8,BGAT,A級/SP104白色
8,BGB1,A級/#VS-24  GRAY SHELL PEAR
8,BGBA,A級/WE801 貝珠
8,BGBK,A級/WA807粉紅色貝珠
8,BGBM,A級/WP401粉白色五彩貝珠
8,BGBP,A級/WA150
8,BGBR,A級/WA202
8,BGBT,A級/#VS23 (WP212)淺灰色
8,BGBV,A級/#VS12(WP522 粉紅色)
8,BGBX,A級/#VS11 淺粉紅色
8,BGBZ,A級/WE104 貝珠
8,BHB4,B級/CHANGE CZ #4-1
8,BHB8,B級/CHANGE CZ #8
8,BJA1,A級/棕色仿鑽色(中)
8,BJA3,A級/SIGNITY #2 BROWN  CZ(HSN)
8,BJAA,A級/PERCIOSE BROWN CZ
8,BJAE,A級/棕色CZ(B2-B4)
8,BJB1,B級/棕色仿鑽色(中)
8,BJB3,3A#1棕色CZ(B1-B4)
8,BJB5,3A#2棕色CZ(B4-B6)
8,BJB7,B級/棕色CZ(B3-B4) 董先生訂單
8,BJB9,B級/棕色CZ B1-B3
8,BJBB,B級/棕色CZ(B2-B4)
8,BPA1,A級/粉紅玻OR2
8,BPA3,A級/OW10#  粉紅玻璃
8,BPB1,B級/粉紅玻OR2
8,BPB3,B級/0A01
8,BQB0,B級/K84
8,BRB0,B級/K82
8,BRB3,B級/乳白玻
8,BRB5,B級/K83白玻內貼心形金色紙
8,BRB7,手繪玻璃HAND WORKED GLASS(PK./WH)
8,BRB9,B級/鍍銀邊透明玻璃
8,BG4F,A級/PL628
8,BG4P,A級/PL636
8,BG5J,B級/PL-501-SR001
8,BG65,B級/PL-207
8,BG6K,B級/PL222
8,BG73,B級/PL240
8,BG8P,B級/PL636
8,BG98,B級/PL735
8,BG9T,B級/SP104白色
8,BG9X,白色貝珠(DH)
8,BGA8,A級/PL735
8,BGAF,A級/PL650桃紅色(海南聖發SA111)
8,BGAL,A級/PL658藍色(海南聖發SA226)
8,BGAR,A級/SP204灰色
8,BGAW,A級/SA401粉紅貝珠
8,BGB2,A級/#VS-22  GRAY SHELL PEAR
8,BGBJ,A級/SA229灰色貝珠
8,BGBL,A級/WE405淺紫色
8,BGBN,A級/WA401粉紅色
8,BGBQ,A級/WP404
8,BGBS,A級/WE267(粉紅)
8,BGBU,A級/#VS2(WP105 白 彩)
8,BGBW,A級/#VS1(WP105 白彩)
8,BGBY,A級/WA161 貝珠
8,BHB2,B級/CHANGE CZ #2-1
8,BHB6,B級/CHANGE CZ #6-1
8,BJA0,A級/#1棕色CZ(B1-B4)
8,BJA2,A級/#2棕色CZ(B3-B6)
8,BJA6,A級/SIGNITY BROWN CZ
8,BJAD,A級/SIGNITY BROWN CZ(鐳射字印)
8,BJB0,B級/#1棕色CZ(B1-B4)
8,BJB2,B級/#2棕色CZ(B3-B6)
8,BJB4,3A#2棕色CZ(B3-B6)
8,BJB6,B級/棕色CZ(B4-B6)
8,BJB8,B級/棕色CZ(B2-B5)
8,BJBA,3A棕色CZ(B1-B3)
8,BKB0,B級/乳白色CZ
8,BPA2,A級/OR11
8,BPB0,B級/K80
8,BPB2,B級/OR11
8,BQA1,OA 56
8,BRA1,A級/K83
8,BRB1,B級/K83
8,BRB4,B級/白玻石中石
8,BRB6,B級/顏色參考SWAROVSKI CRYSTAL #001
8,BRB8,B級/0A06
8,BRBA,白玻璃裝金沙漏
8,BRBC,K83白玻(鍍AB彩)
8,BRBB,白玻璃裝銀沙漏
8,BSA3,A級/K120桃紅玻璃
8,BSA5,A級/OR1
8,BSB2,B級/K112
8,BSB4,B級/OR1
8,BTA4,OK 18
8,BTA6,OK5
8,BTB2,B級/K106
8,BTB4,B級/OK26
8,BUA0,A級/人造綠水晶(深色)#1
8,BUB0,B級/人造綠水晶(深色)#1
8,BUB3,"B級/深色,中色, 淺色 (部分組合)"
8,BVA1,A級/人造藍水晶(中色)
8,BVA3,A級/#2人造藍水晶(深色)-進口料
8,BVB1,B級/人造藍水晶(中色)
8,BVB3,B級/人造海藍色藍水晶
8,BWA0,A級/人造茶晶
8,BXB0,B級/人造海藍寶色水晶
8,BYB0,B級/人造紫水晶(中色)
8,BZA0,A級/染沙丁-深紅色
8,BZB1,B級/染淺水-粉紅色
8,BZB3,B級/染中淺色
8,BZB5,B級/染淺橘紅色珊瑚
8,CBA1,A級/#1深色天然茶晶
8,CBA4,A級/中色茶晶
8,CBA6,2A  #2茶晶(淺色)
8,CBB2,B級/#2淺色天然茶晶
8,CCA0,A級/帶黃
8,CCB1,B級/帶綠
8,CEB0,B級/粉紅蛤
8,CFA1,A級/WHITE QUARTZ(不透明白水晶)
8,CFB0,B級/白水晶
8,CFB2,B級//MILKY CRYSTAL (透明)
8,CFB6,DOUBLET(#57B MORGANITE)
8,CFB8,DOUBLET(#43 GREEN)
8,CFBA,B級/GREEN DOUBLET COLOR #16
8,CFBC,B級/GREEN DOUBLET COLOR #90
8,CFBE,B級/GENUINE QUARTZDOUBLET COLOR #66
8,CFBG,B級/GENUINE QUARTZDOUBLET COLOR #86
8,CFBJ,B級/GENUINE QUARTZDOUBLET COLOR #87
8,CFBL,B級/GENUINE QUARTZDOUBLET COLOR #22
8,CFBN,B級/GENUINE QUARTZ DOUBLET COLOR #30
8,CFBQ,B級/GENUINE QUARTZ DOUBLET COLOR #48
8,BSA4,3A K120 桃紅玻璃
8,BSB1,B級/K101
8,BSB3,B級/K120桃紅玻璃
8,BSB5,OC19
8,BTA5,OC 6
8,BTB0,B級/K65
8,BTB3,B級/K116
8,BTB5,B級/OC4
8,BUA2,A級/人造綠水晶(淺色)#2
8,BUB2,B級/人造綠水晶(淺色)#2
8,BVA0,A級/人造藍水晶(深色)#1
8,BVA2,A級/人造藍水晶(淺色)#2
8,BVB0,B級/人造藍水晶(深色)#1
8,BVB2,B級/人造藍水晶(淺色)#2
8,BVB4,B級/#2人造藍水晶(深色)-進口料
8,BWB0,B級/人造茶晶
8,BYA0,A級/人造紫水晶(中色)
8,BYB1,B級/人造紫水晶(深色)
8,BZB0,B級/染沙丁-深紅色
8,BZB2,B級/桔紅色
8,BZB4,B級/染淺色(粉紅色含A3色)
8,CA5B,B級/M12
8,CBA2,A級/#2淺色天然茶晶
8,CBA5,A級/#3淺色煙晶
8,CBB1,B級/#1深色天然茶晶
8,CBPM,促銷產品用石
8,CCB0,B級/帶黃
8,CDA0,A級/花綠石
8,CFA0,A級/白水晶
8,CFA2,A級/CLEAR QUARTZ(透明白水晶)
8,CFB1,"B級/白水晶(帶花,有絮狀)"
8,CFB5,GREEN DOUBLET #07
8,CFB7,DOUBLET(#06 TANZANITE)
8,CFB9,DOUBLET(#45 BI-COL)
8,CFBB,B級/GREEN DOUBLET COLOR #73
8,CFBD,B級/GENUINE QUARTZDOUBLET COLOR #4
8,CFBF,B級/GENUINE QUARTZDOUBLET COLOR #85
8,CFBH,B級/GENUINE QUARTZDOUBLET COLOR #78
8,CFBK,B級/GENUINE QUARTZDOUBLET COLOR #08
8,CFBM,B級/GENUINE QUARTZDOUBLET COLOR #76
8,CFBP,B級/GENUINE QUARTZ DOUBLET COLOR #46
8,CFBR,B級/GENUINE QUARTZ DOUBLET COLOR #51
8,CFBT,B級/GENUINE QUARTZ DOUBLET COLOR #59
8,CFBS,B級/GENUINE QUARTZ DOUBLET COLOR #58
8,CFBU,B級/GENUINE QUARTZ DOUBLET COLOR #60
8,CFCT,B級/GENUINE QUARTZ DOUBLET COLOR #84
8,CGC2,JET-280 捷克水鑽
8,CGDJ,SWAROVSKI CRYSTAL SUN FLOWER 292
8,CGEQ,SWAROVSKI CRYSTAL PALACE GREEN OPAL #393
8,CGFT,ROSE-70010捷克水鑽 MAXIMA
8,CMB0,B級/黃紋石
8,DAA0,A級/綠紫晶
8,DAA2,A級/綠紫晶(RANGE 8-10)
8,DAB1,B+級/綠紫晶(#3-#10)
8,DBA1,A級/#32 MOXIE GREEN MYSTIC CZ
8,DBA3,A級/#32 MOXIE BLUE MYSTIC CZ
8,DBA5,A級/BLUE LAVENDER CZ
8,DBA7,A級/BLUE SUMMER CZ
8,DBA9,A級/LAVENDER DUSK CZ
8,DBAC,A級/LOOKING CZ
8,DBAE,MYSTIC MOXIE PINK #33 CZ
8,DCB0,B級/#12白色剛玉
8,DCPM,#12白色剛玉(PM)
8,DGA0,A級/白安力士
8,DHA0,A級/GEN PINK AMETHST 天然粉紅紫晶
8,DHA2,A級/ROSE AMETHYST (RANGE3-6)
8,DHA4,A級/PINK AMETHYST(RANGE 11-14)
8,DHA6,A級/PINK AMETHYST (RANGE13-15)
8,DHB0,B級/GEN PINK AMETHST 天然粉紅紫晶
8,DHB5,B級/PINK AMETHYST(RANGE 5-10)
8,DHB7,粉紅紫晶(CAPE PINK AME)  PM級
8,DJA0,A級/黑安力士
8,DKB0,B級/黑色樹脂底美人浮雕(美人頭像戴帽向右)B001
8,DKB5,B級/M007樹脂佛像浮雕黑底白面
8,DKB8,B級/黑色樹脂雕刻玫瑰花
8,DKBA,B級/藍色樹脂底浮雕(雕刻燈塔 海浪)
8,DKBC,B級/#011粉紅色樹脂浮雕 (雕刻小狗圖案)
8,DKBE,B級/#03 松石色樹脂浮雕 (雕刻小狗圖案)
8,DKBG,B級/#C02 淺紅色樹脂浮雕 (雕刻小狗圖案)
8,DKBJ,B級/藍色樹脂底浮雕(雕刻天使)
8,CFBV,B級/GENUINE QUARTZ DOUBLET COLOR #62
8,CFBW,B級/GENUINE QUARTZ DOUBLET COLOR #63
8,CFBX,B級/GENUINE QUARTZ DOUBLET COLOR #64
8,CFBY,B級/GENUINE QUARTZ DOUBLET COLOR #65
8,CFBZ,B級/GENUINE QUARTZ DOUBLET COLOR #68
8,CFC0,白水晶(PM)
8,CFC1,B級/GENUINE QUARTZ DOUBLET COLOR #71
8,CFC2,B級/GENUINE QUARTZ DOUBLET COLOR #72
8,CFC3,B級/GENUINE QUARTZ DOUBLET COLOR #74
8,CFC4,B級/GENUINE QUARTZ DOUBLET COLOR #83
8,CFC5,B級/GENUINE QUARTZ DOUBLET COLOR #01
8,CFC6,B級/GENUINE QUARTZ DOUBLET COLOR #02
8,CFC7,B級/GENUINE QUARTZ DOUBLET COLOR #03
8,CFC8,B級/GENUINE QUARTZ DOUBLET COLOR #05
8,CFC9,B級/GENUINE QUARTZ DOUBLET COLOR #09
8,CFCA,B級/GENUINE QUARTZ DOUBLET COLOR #11
8,CFCB,B級/GENUINE QUARTZ DOUBLET COLOR #13
8,CFCC,B級/GENUINE QUARTZ DOUBLET COLOR #15
8,CFCD,B級/GENUINE QUARTZ DOUBLET COLOR #17
8,CFCE,B級/GENUINE QUARTZ DOUBLET COLOR #18
8,CFCF,B級/GENUINE QUARTZ DOUBLET COLOR #28
8,CFCG,B級/GENUINE QUARTZ DOUBLET COLOR #31
8,CFCH,B級/GENUINE QUARTZ DOUBLET COLOR #37
8,CFCJ,B級/GENUINE QUARTZ DOUBLET COLOR #47
8,CFCK,B級/GENUINE QUARTZ DOUBLET COLOR #67
8,CFCL,B級/GENUINE QUARTZ DOUBLET COLOR #70
8,CFCM,B級/GENUINE QUARTZ DOUBLET COLOR #75
8,CFCN,B級/GENUINE QUARTZ DOUBLET COLOR #77
8,CFCP,B級/GENUINE QUARTZ DOUBLET COLOR #89
8,CFCQ,B級/GENUINE QUARTZ DOUBLET COLOR #91
8,CFCR,B級/GENUINE QUARTZ DOUBLET COLOR #56
8,CFCS,B級/GENUINE QUARTZ DOUBLET COLOR #80
8,CFCU,B級/GENUINE QUARTZ DOUBLET COLOR SKY BLUE #458
8,CFCV,B級/GENUINE QUARTZ DOUBLET COLOR ELBITE TOURMALINE#547
8,CFCW,B級/GENUINE QUARTZ DOUBLET COLOR IOLITE #309
8,CFCX,B級/PINK TOUR COLOR DOUBLET QUARTZ
8,CFD1,B級/WHITE QUARTZ(不透明白水晶)
8,CFD2,B級/CLEAR QUARTZ(透明白水晶)
8,CFD3,B級/乳色白水晶
8,CFP1,WHITE QUARTZ(不透明白水晶)(PM)
8,CFP2,CLEAR QUARTZ(透明白水晶)(PM)
8,CGA0,A級/CRYSTAL-001
8,CGA1,A級/Swarovski crystal Pearl
8,CGAH,JET #280
8,CGAM,A級/SMOKED TOPAZ 220
8,CGAT,Light smoked topaz-221
8,CGAV,B級/LIGHT AZORE-361 SWAROVSKI淺粉藍
8,CGB0,B級/CRYSTAL-001
8,CGB2,B級/BLACK
8,CGB7,B級/SWAROVSKI LIGHT SAPPHIRE-211
8,CGB8,B級/SWAROVSKI AQUAMARINE-202
8,CGB9,B級/SWAROVSKI PERIDOT-214
8,CGBA,B級/SWAROVSKI JONQUIL-213淺黃色
8,CGBB,B級/SWAROVSKI LIGHT ROSE-223
8,CGBC,B級/SWAROVSKI LIGHT AMETHYST-212
8,CGBG,B級/#209 ROSE
8,CGBH,B級/#227 LIGHT SIAM
8,CGBJ,B級/#203 TOPAZ
8,CGBK,B級/#502 FUCHSIA
8,CGBL,B級/#228 OLIVINE
8,CGBM,B級/#206 SAPPHIRE
8,CGBN,B級/#229 BLUE ZIRCON
8,CGBP,B級/#204 AMETHYST
8,CGBQ,B級/#205 EMERALD
8,CGBR,B級/#238 CHRYSOLITE
8,CGBS,B級/243# CAPRI BLUE
8,CGBT,B級/371# VIOLET
8,CGBU,B級/HYACINTH #236
8,CGBV,B級/LIGHT TOPAZ #226
8,CGBY,B級/LIGHT COLORADO TOPAZ#246
8,CGBZ,B級/SIAM(208)
8,CGC1,TOPAZ-10070 捷克水鑽
8,CGC3,LIGHT SAPPHIRE-30020 捷克水鑽
8,CGC4,JONQUIL-80100 捷克水鑽
8,CGC5,PERIDOT-50520 捷克水鑽
8,CGC6,AMETHYST -20050 捷克水鑽
8,CGC7,SAPPHIRE-30050捷克水鑽
8,CGC8,VIOLET-20310捷克水鑽
8,CGC9,LIGHT ROSE-70020捷克水鑽
8,CGCA,B級/MONTANA #207
8,CGCB,B級/RUBY(501)
8,CGCC,B級/TANZANITE 539
8,CGCD,B級/BURGUNDY 515
8,CGCL,B級/VINTAGE ROSE 319
8,CGCP,B級/SMOKED QUARTZ 225
8,CGCQ,B級/GOLDEN SHADOW 001
8,CGCR,B級/CRYSTAL 001 捷克水鑽
8,CGCS,B級/OLIVINE 捷克水鑽
8,CGCT,B級/SMOKED TOPAZ 220  捷克水鑽
8,CGCU,B級/EMERALD #20 捷克水鑽
8,CGCV,B級/BLACK(黑色) 215  捷克水鑽
8,CGCW,捷克水鑽LT COLORADO-10330
8,CGCX,B級/ROSE#209 捷克水鑽
8,CGCZ,SIAM-90090 捷克水鑽
8,CGD1,B級/TANZANITE-20410　捷克水鑽
8,CGD3,LIGHT SIAM CZECH-227淺紅色捷克水鑽
8,CGD4,B級/CZECH MONTANA-207#
8,CGD5,B級/CZECH LIGHT PEACH-362#
8,CGD6,B級/CZECH AQUA BOHEMICA #60010
8,CGD7,B級/CARIBBEAN BLUE OPAL(394)
8,CGD8,B級/AQUAMARINE CZECH CRYSTAL #60010
8,CGD9,B級/MONTANA CZECH CRYSTAL #30340
8,CGDB,B級/SWAROVSKI FERN GREEN #291
8,CGDC,B級/SWAROVSKI CRYSTAL ROSE PEACH-262
8,CGDD,B級/SWAROVSKI CRYSTAL ANTIQUE PINK (001AN)
8,CGDE,B級/CZECH CITRINE CRYSTAL
8,CGDF,B級/SWAROVSKI CRYSTAL ROSE WATER OPAL 395
8,CGDG,B級/SWAROVSKI CRYSTAL SAND OPAL 287
8,CGDH,B級/SWAROVSKI CRYSTAL SILVER NIGHT 001 SINI
8,CGDR,SWAROVSKI  SAPPHIRE 266
8,CGDK,B級/SWAROVSKI CRYSTAL CYCLAMEN OPAL-398
8,CGDM,B級/SWAROVSKI CRYSTAL LIGHT TURQUOISE 263
8,CGDN,B級/SWAROVSKI DRAK LNDIGO-288(#6010)
8,CGDP,捷克水鑽  WHITE OPAL-01000
8,CGDQ,捷克水鑽  LIGHT AMETHYST-20020
8,CGDS,SWAROVSKI INDIAN PINK F 289
8,CGDT,捷克水鑽  CRYSTAL AB (00030 AB)
8,CGDU,SWAROVSKI CRYSTAL COPPER(001COP)
8,CGDV,SWAROVSKI BLUE SHADE(BLSH)
8,CGDW,SWAROVSKI CRYSTAL ASCRAL PINK (001 APL)
8,CGDX,CZECH CRYSTAL AQUAMARINE #60000
8,CGDY,CZECH CRYSTAL FUCHSIA #70350
8,CGE1,SWAROVSKI JET HEMATITE-280
8,CGE2,SWAROVSKI WHITE OPAL-234
8,CGE3,SWAROVSKI PURPLE VELET-277
8,CGE4,SWAROVSKI INDICOLITE-#379
8,CGE5,SWAROVSKI PACIFIC OPAL-390
8,CGE6,SWAROVSKI CRYSTAL AB-001
8,CGE7,SWAROVSKI WHITE ALABASTER-281
8,CGE8,SWAROVSKI CRYSTAL MOONLIGHT-001
8,CGE9,SWAROVSKI CRYSTAL SILVER SHADE-001
8,CGEA,國產水鑽(白色)CRYSTAL  001
8,CGEB,國產水鑽(黑色) JET-23980
8,CGEC,MONTANA (30340)捷克水鑽 MAXIMA
8,CGED,EMERALD (50730)捷克水鑽 MAXIMA
8,CGEE,VIOLET (20310)捷克水鑽 MAXIMA
8,CGEF,WHITE OPAL (01000)捷克水鑽 MAXIMA
8,CGEG,LIGHT SIAM (90070)捷克水鑽 MAXIMA
8,CGEH,BLACK DIAMOND (40010)捷克水鑽 MAXIMA
8,CGEJ,LIGHT PEACH (90300)捷克水鑽 MAXIMA
8,CGEK,FUCHSIA(70350)捷克水鑽 MAXIMA
8,CGEL,CRYSTAL AB(00030)捷克水鑽 MAXIMA
8,CGEM,中國水鑽 淺黃色013
8,CGEN,中國水鑽 橄欖綠009
8,CGEP,捷克水鑽JET HEMITITE #23980 HEM
8,CGER,SWAROVSKI CRYSTAL PARADIS SHINE 001 PARSH
8,CGES,AQUA BOHEMICA(60010) 捷克水鑽 MAXIMA
8,CGET,PERIDOT(50520)  捷克水鑽 MAXIMA
8,CGEU,VELVET (00030)  捷克水鑽 MAXIMA
8,CGEV,SWAROVSKI CRYSTAL ROSE GOLD (001 ROGL)
8,CGEW,SWAROVSKI CRYSTAL ARGENT LIGHT (001 CAL)
8,CGEX,SWAROVSKI CRYSTAL SCARABEOUS GREEN
8,CGEY,SWAROVSKI CRYSTAL GARNET #241
8,CGEZ,SWAROVSKI CRYSTAL LIGHT CHROME (001 LTCH)
8,CGF1,B級/HEMATITE(赤鐵礦) 捷克水鑽
8,CGF2,B級/捷克水鑽 GARNET CRYSTAL(#90120)
8,CGF3,CRYSTAL(001) BERMUDA BLUE(BB)
8,CGF4,捷克水鑽HYACINTH (#90040)
8,CGF5,SWAROVSKI CRYSTAL METALLIC LIGHT GOLD-001  MLGLD
8,CGF6,捷克水鑽 SUN (#90310)
8,CGF7,SWAROVSKI PROVENCE LAVENDER (#283)
8,CGF8,INDICOLITE CRYSTAL(#60100)
8,CGF9,LIGHT GREY OPAL CRYSTAL (# 383)
8,CGFA,捷克水鑽 BLUE ZIRCON(60230)
8,CGFB,SWAROVSKI GREIGE F#284 #1088
8,CGFC,SWAROVSKI CRYSTAL METALLIC BLUE-001 METBL
8,CGFD,SWAROVSKI CRYSTAL SATIN-001 SAT
8,CGFE,SWAROVSKI INDIAN SIAM F(327)
8,CGFF,SWAROVSKI DARK SIAM-308
